movie_id;genres
1;Comedy,Drama 
2;Drama,Sci-fi
3;Adventure,Drama
4;Action,War
5;Action,War
6;Action,Drama
7;Adventure,Sci-fi
8;Adventure,Sci-fi
9;Action,Sci-fi
10;Action,Adventure
11;Action,Comedy
12;Action,Adventure
13;Action,Sci-fi
14;Action,Fantasy
15;Action,Adventure
16; Action/Sci-fi
17;Action,Fantasy
18;Action,Adventure
19;Drama,Music 
20;Sport,Musical
21;Nonte Fonte
22;Nonte Fonte
23;Nonte Fonte
24;Nonte Fonte
25;Nonte Fonte
26;Nonte Fonte
27;Adventure,Fantasy
28;Adventure,Family
